source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
C:/OwnPrograms/skewTCloudSim/Game/kernelMaths.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-17_kernelMaths.compute_86.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-9_kernelMaths.compute_86.ptx , compute_86 , nvcc , 1101.2697 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , cl.exe (compiling) ,   , C:/OwnPrograms/skewTCloudSim/Game/x64/Release/meteoformulas.cu.obj , compute_52 , nvcc , 178.8913 , ms
 , nvcc (driver) ,  , C:/OwnPrograms/skewTCloudSim/Game/x64/Release/meteoformulas.cu.obj ,  , nvcc , 6.5747 , ms
C:/OwnPrograms/skewTCloudSim/Game/microPhysics.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/microPhysics.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-21_microPhysics.compute_120.cpp1.ii , compute_120 , nvcc , 371.5283 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-21_kernelGround.compute_120.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-8_kernelGround.compute_120.ptx , compute_120 , nvcc , 843.4300 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelMaths.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-9_kernelMaths.compute_86.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-20_kernelMaths.compute_86.sm_86.cubin , sm_86 , nvcc , 229.7260 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelSky.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/kernelSky.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008d50_00000000-17_kernelSky.compute_86.cpp1.ii , compute_86 , nvcc , 523.0484 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-21_kernelTest.compute_120.cpp1.ii , compute_120 , nvcc , 448.7623 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-8_kernelGround.compute_120.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-24_kernelGround.compute_120.sm_120.cubin , sm_120 , nvcc , 228.4823 , ms
C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-21_dataClass.compute_120.cpp1.ii , compute_120 , nvcc , 458.5460 , ms
